team_clean,season_start,records_count,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct
Philadelphia 76ers,2020,14,0.5617,0.3536,0.2703,0.1389,0.4989
Phoenix Suns,2020,20,0.5359,0.2273,0.2359,0.1306,0.5105
Portland Trail Blazers,2020,10,0.5336,0.2541,0.263,0.1321,0.5505
Sacramento Kings,2020,4,0.481,0.3425,0.2662,0.164,0.5245
San Antonio Spurs,2020,4,0.4447,0.295,0.2417,0.1227,0.552
Toronto Raptors,2020,3,0.5257,0.264,0.204,0.1753,0.5507
Utah Jazz,2020,14,0.579,0.3029,0.2693,0.1416,0.5516
Washington Wizards,2020,10,0.507,0.2837,0.262,0.1495,0.551
Atlanta Hawks,2021,11,0.5137,0.2505,0.2484,0.1585,0.52
Boston Celtics,2021,28,0.5291,0.2788,0.2657,0.1566,0.5042
Brooklyn Nets,2021,9,0.5761,0.3023,0.2717,0.1703,0.5334
Charlotte Hornets,2021,5,0.4472,0.237,0.2528,0.1764,0.5504
Chicago Bulls,2021,9,0.4869,0.1842,0.2293,0.1253,0.5121
Cleveland Cavaliers,2021,7,0.5111,0.2836,0.2727,0.1809,0.5219
Dallas Mavericks,2021,22,0.5449,0.2827,0.2281,0.1122,0.524
Denver Nuggets,2021,10,0.5335,0.2751,0.2799,0.1641,0.5687
Detroit Pistons,2021,4,0.5132,0.2838,0.2278,0.1685,0.5155
Golden State Warriors,2021,27,0.56,0.2288,0.269,0.1477,0.5209
Houston Rockets,2021,4,0.484,0.373,0.2738,0.189,0.5375
Indiana Pacers,2021,4,0.5075,0.2027,0.286,0.163,0.5385
Los Angeles Clippers,2021,6,0.4812,0.2952,0.2547,0.1598,0.5242
Los Angeles Lakers,2021,6,0.4857,0.2848,0.2267,0.1828,0.5223
Memphis Grizzlies,2021,18,0.5107,0.2574,0.3043,0.1516,0.5105
Miami Heat,2021,24,0.5167,0.2532,0.3002,0.1482,0.5196
Milwaukee Bucks,2021,17,0.5149,0.2218,0.2597,0.143,0.5154
Minnesota Timberwolves,2021,11,0.5239,0.3082,0.2439,0.1591,0.5169
New Orleans Pelicans,2021,12,0.5048,0.2874,0.3382,0.152,0.5428
New York Knicks,2021,4,0.5305,0.2165,0.257,0.1093,0.4878
Oklahoma City Thunder,2021,4,0.515,0.2172,0.2365,0.1517,0.553
Orlando Magic,2021,4,0.4948,0.1822,0.2505,0.1727,0.481
