team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Phoenix Suns,2012,89,29,60,0.326,95.34,101.1,-5.76,98.61,97.0,1.61,0.5226,0.495,0.4982,0.217,0.2812,0.176,0.4892,44,20,94.84,96.86,45,9,95.82,105.24
Portland Trail Blazers,2012,89,36,53,0.404,97.6,100.48,-2.89,101.79,100.74,1.03,0.5489,0.4991,0.4991,0.2991,0.306,0.2027,0.511,44,24,99.55,98.8,45,12,95.69,102.13
Sacramento Kings,2012,89,33,56,0.371,100.11,104.36,-4.25,102.74,99.31,3.44,0.521,0.4636,0.4636,0.3164,0.31,0.1607,0.49,44,22,104.45,104.39,45,11,95.87,104.33
San Antonio Spurs,2012,109,76,33,0.697,102.42,96.14,6.28,106.88,100.09,6.77,0.5507,0.5132,0.5066,0.2852,0.2714,0.1492,0.4795,54,45,104.09,94.43,55,31,100.78,97.82
Toronto Raptors,2012,88,39,49,0.443,97.58,98.39,-0.81,106.43,97.78,8.65,0.554,0.5088,0.5246,0.3416,0.3092,0.1608,0.4786,45,25,97.0,94.49,43,14,98.19,102.47
Utah Jazz,2012,90,48,42,0.533,98.13,97.48,0.66,102.06,93.88,8.21,0.5301,0.4851,0.4919,0.3717,0.341,0.1783,0.4881,44,33,100.09,94.66,46,15,96.26,100.17
Washington Wizards,2012,90,32,58,0.356,93.43,96.06,-2.62,101.84,105.4,-3.55,0.5028,0.4585,0.4585,0.2833,0.3591,0.17,0.5008,42,22,97.95,95.48,48,10,89.48,96.56
Atlanta Hawks,2013,96,42,54,0.438,99.36,100.6,-1.24,95.33,100.66,-5.36,0.5128,0.4621,0.4505,0.2984,0.2419,0.1786,0.5045,47,25,99.66,98.64,49,17,99.08,102.49
Boston Celtics,2013,90,27,63,0.3,96.07,100.2,-4.13,99.36,99.94,-0.57,0.5145,0.4675,0.4675,0.2923,0.3124,0.1774,0.4779,45,18,96.91,98.62,45,9,95.22,101.78
Brooklyn Nets,2013,101,54,47,0.535,98.26,98.56,-0.31,105.85,103.02,2.83,0.5542,0.5127,0.5104,0.373,0.2924,0.1667,0.4952,49,33,99.12,95.76,52,21,97.44,101.21
Charlotte Hornets,2013,94,48,46,0.511,96.04,96.15,-0.11,98.09,97.58,0.51,0.5108,0.4644,0.4637,0.3897,0.2721,0.1665,0.4685,47,27,96.21,94.15,47,21,95.87,98.15
Chicago Bulls,2013,95,57,38,0.6,93.72,91.49,2.22,101.32,96.79,4.55,0.5248,0.4705,0.4721,0.3967,0.313,0.1773,0.4433,49,32,94.65,89.61,46,25,92.72,93.5
Cleveland Cavaliers,2013,90,37,53,0.411,97.67,101.03,-3.37,93.98,98.86,-4.9,0.4929,0.435,0.435,0.3473,0.3664,0.216,0.474,47,22,97.6,97.96,43,15,97.74,104.4
Dallas Mavericks,2013,97,56,41,0.577,103.47,101.67,1.8,100.88,102.63,-1.76,0.5163,0.4838,0.4809,0.2122,0.2873,0.1334,0.5108,48,29,105.77,103.0,49,27,101.22,100.37
Denver Nuggets,2013,89,38,51,0.427,103.39,105.91,-2.52,89.37,96.3,-6.89,0.469,0.4307,0.4307,0.3187,0.2829,0.1871,0.4619,43,23,105.16,104.67,46,15,101.74,107.07
Detroit Pistons,2013,89,32,57,0.36,100.46,104.03,-3.57,96.99,99.61,-2.63,0.5347,0.4866,0.4866,0.4,0.3026,0.212,0.4904,44,19,101.16,103.5,45,13,99.78,104.56
Golden State Warriors,2013,96,57,39,0.594,103.54,99.81,3.73,100.25,102.8,-2.54,0.5231,0.4879,0.4853,0.2752,0.2848,0.1647,0.4849,47,31,104.09,96.66,49,26,103.02,102.84
Houston Rockets,2013,95,62,33,0.653,107.87,103.15,4.73,110.98,105.13,5.86,0.5556,0.5138,0.5138,0.3375,0.3552,0.164,0.4772,48,37,109.21,101.12,47,25,106.51,105.21
Indiana Pacers,2013,109,69,40,0.633,95.72,92.44,3.28,101.61,102.34,-0.72,0.5338,0.4903,0.4862,0.3484,0.2637,0.1581,0.4891,54,40,96.74,89.48,55,29,94.71,95.35
Los Angeles Clippers,2013,103,68,35,0.66,107.32,101.26,6.06,108.4,105.55,2.84,0.5497,0.5063,0.5005,0.3562,0.282,0.1443,0.5058,52,40,110.38,101.27,51,28,104.2,101.25
Los Angeles Lakers,2013,90,31,59,0.344,102.37,108.41,-6.04,94.67,97.72,-3.1,0.5186,0.4634,0.4466,0.3391,0.2311,0.187,0.4766,48,18,103.0,106.56,42,13,101.64,110.52
Memphis Grizzlies,2013,96,56,40,0.583,95.54,95.24,0.3,95.7,102.96,-7.26,0.4838,0.4372,0.4311,0.3448,0.2839,0.1578,0.4852,47,29,97.49,96.04,49,27,93.67,94.47
Miami Heat,2013,110,72,38,0.655,100.68,96.85,3.83,108.36,106.75,1.62,0.5798,0.5431,0.5378,0.3281,0.2309,0.1549,0.5319,55,43,102.95,96.22,55,29,98.42,97.49
Milwaukee Bucks,2013,88,16,72,0.182,95.1,103.2,-8.1,94.72,101.58,-6.88,0.5223,0.476,0.476,0.4175,0.2623,0.2147,0.4457,43,11,94.21,100.93,45,5,95.96,105.38
Minnesota Timberwolves,2013,88,44,44,0.5,106.72,103.65,3.07,105.55,97.4,8.17,0.5323,0.476,0.4724,0.4392,0.3394,0.1498,0.466,44,26,107.45,101.27,44,18,105.98,106.02
New Orleans Pelicans,2013,90,41,49,0.456,99.83,101.72,-1.89,103.03,96.96,6.09,0.5694,0.5199,0.5065,0.348,0.2782,0.1995,0.5055,44,24,100.93,99.3,46,17,98.78,104.04
New York Knicks,2013,89,39,50,0.438,98.37,99.6,-1.22,99.11,105.91,-6.76,0.4994,0.4636,0.4636,0.2529,0.279,0.1481,0.5123,42,19,99.55,98.79,47,20,97.32,100.32
