team_clean,season_start,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
New York Knicks,2016,44,21,104.84,106.14,44,14,104.45,109.75
Oklahoma City Thunder,2016,46,31,109.09,103.57,45,19,103.47,108.53
Orlando Magic,2016,45,18,100.53,103.84,44,13,101.25,111.3
Philadelphia 76ers,2016,44,18,101.93,105.8,45,12,102.0,110.27
Phoenix Suns,2016,44,17,109.07,111.05,44,11,105.75,114.16
Portland Trail Blazers,2016,45,26,109.67,107.67,47,18,105.0,109.55
Sacramento Kings,2016,43,18,105.12,106.84,44,16,100.43,106.3
San Antonio Spurs,2016,52,38,106.21,98.83,52,35,104.04,99.31
Toronto Raptors,2016,48,31,109.44,103.04,50,27,101.62,102.1
Utah Jazz,2016,49,31,100.69,95.8,49,27,99.96,98.76
Washington Wizards,2016,50,38,109.92,103.62,52,22,107.77,110.0
Atlanta Hawks,2017,43,17,104.4,108.3,44,9,101.5,108.16
Boston Celtics,2017,54,39,105.39,99.33,51,31,101.75,101.25
Brooklyn Nets,2017,44,17,106.32,108.43,42,14,107.52,111.62
Charlotte Hornets,2017,43,22,109.72,107.72,44,16,106.0,107.55
Chicago Bulls,2017,44,18,103.39,108.14,44,12,102.18,111.68
Cleveland Cavaliers,2017,55,37,109.05,108.0,54,26,107.67,108.67
Dallas Mavericks,2017,44,18,104.09,102.98,44,10,100.59,106.73
Denver Nuggets,2017,42,31,111.0,105.4,44,17,108.61,111.39
Detroit Pistons,2017,44,27,105.8,102.27,43,14,101.65,105.51
Golden State Warriors,2017,54,40,113.22,104.31,52,36,112.75,108.02
Houston Rockets,2017,52,41,112.85,104.44,51,38,108.78,102.51
Indiana Pacers,2017,44,29,106.75,103.23,48,24,103.54,103.33
Los Angeles Clippers,2017,45,24,109.11,108.27,42,20,108.38,109.5
Los Angeles Lakers,2017,45,21,105.89,105.62,42,16,109.36,113.07
Memphis Grizzlies,2017,44,18,100.73,102.43,43,7,98.47,107.49
Miami Heat,2017,46,29,104.83,103.28,47,19,101.49,104.06
Milwaukee Bucks,2017,46,29,106.26,104.89,47,19,105.4,107.98
Minnesota Timberwolves,2017,44,31,111.36,106.86,45,18,106.87,108.53
New Orleans Pelicans,2017,46,27,113.41,111.8,49,27,109.04,109.39
New York Knicks,2017,44,19,106.45,106.3,43,10,101.63,110.33
Oklahoma City Thunder,2017,46,30,108.37,103.26,45,22,105.8,105.07
Orlando Magic,2017,44,19,103.73,106.64,44,9,102.48,108.25
Philadelphia 76ers,2017,49,34,110.69,103.16,48,25,108.48,107.73
Phoenix Suns,2017,43,10,103.16,113.6,43,12,104.84,113.07
Portland Trail Blazers,2017,45,29,106.53,102.51,46,24,105.46,104.37
Sacramento Kings,2017,43,15,100.4,105.51,45,13,96.24,105.38
San Antonio Spurs,2017,46,36,105.61,98.24,46,15,99.67,102.07
Toronto Raptors,2017,48,39,112.71,102.96,49,27,109.51,106.29
Utah Jazz,2017,47,32,104.21,97.21,49,24,104.18,103.47
Washington Wizards,2017,46,27,108.13,104.65,46,21,105.26,107.59
Atlanta Hawks,2018,43,19,116.12,119.56,44,12,110.55,118.82
Boston Celtics,2018,46,30,112.46,106.59,47,24,109.77,108.43
Brooklyn Nets,2018,44,23,113.45,111.66,47,22,110.32,113.81
Charlotte Hornets,2018,43,27,113.28,109.42,42,15,108.69,114.31
Chicago Bulls,2018,43,10,103.35,112.47,43,13,105.67,113.3
Cleveland Cavaliers,2018,44,14,105.39,112.61,42,7,103.74,115.17
Dallas Mavericks,2018,43,24,110.58,108.6,42,10,107.6,112.31
Denver Nuggets,2018,49,39,112.61,102.82,50,24,107.98,110.56
Detroit Pistons,2018,45,26,108.16,106.84,46,17,104.93,108.85
Golden State Warriors,2018,55,37,116.67,111.36,53,35,116.85,111.04
Houston Rockets,2018,49,37,116.53,109.18,48,25,110.1,107.92
Indiana Pacers,2018,43,29,108.33,101.33,47,21,105.96,107.21
Los Angeles Clippers,2018,46,28,117.2,114.72,45,25,112.87,114.07
Los Angeles Lakers,2018,45,24,111.11,111.33,42,16,112.69,115.55
Memphis Grizzlies,2018,44,23,105.02,104.68,43,12,102.37,108.49
Miami Heat,2018,44,22,106.73,106.07,43,20,105.77,106.81
Milwaukee Bucks,2018,51,41,119.12,106.27,50,32,116.04,110.56
Minnesota Timberwolves,2018,43,25,114.14,112.09,43,11,110.35,117.09
New Orleans Pelicans,2018,42,19,115.21,116.43,44,14,115.36,117.75
New York Knicks,2018,44,10,105.75,113.34,43,10,103.81,113.7
Oklahoma City Thunder,2018,46,30,113.8,109.13,45,23,113.64,112.22
Orlando Magic,2018,45,26,107.64,105.89,46,18,104.39,106.63
Philadelphia 76ers,2018,49,36,117.82,109.76,48,24,111.0,113.69
Phoenix Suns,2018,43,12,107.09,113.7,43,8,107.09,119.49
Portland Trail Blazers,2018,52,39,117.6,110.04,50,25,110.06,110.54
Sacramento Kings,2018,42,24,114.4,113.93,45,16,113.09,117.16
San Antonio Spurs,2018,46,35,112.52,105.93,47,18,109.36,112.62
Toronto Raptors,2018,55,42,113.55,105.16,54,34,111.83,108.2
Utah Jazz,2018,44,31,112.07,104.11,46,23,110.41,108.24
Washington Wizards,2018,43,23,116.63,114.86,43,12,111.37,118.19
Atlanta Hawks,2019,36,14,113.69,117.22,36,7,107.56,121.08
Boston Celtics,2019,34,25,115.38,106.29,34,22,110.35,105.03
Brooklyn Nets,2019,34,19,110.47,108.94,33,13,110.45,113.24
Charlotte Hornets,2019,34,10,103.59,109.38,36,14,102.28,109.36
